# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
44 2.175 1.21336 44.234
45 2.225 1.0579 47.3595
46 2.275 0.936317 50.2515
47 2.325 0.818829 52.893
48 2.375 0.751592 55.423
49 2.425 0.699691 57.8785
50 2.475 0.698925 60.4335
1300 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00685305 0.0035
20 0.975 0.487299 0.28
21 1.025 2.49965 1.8475
22 1.075 3.63756 4.3565
23 1.125 3.09112 6.6915
24 1.175 2.09947 8.4215
25 1.225 1.39846 9.674
26 1.275 0.925046 10.5715
27 1.325 0.671884 11.2755
28 1.375 0.549026 11.895
29 1.425 0.465795 12.4595
30 1.475 0.428978 13.0165
31 1.525 0.427249 13.6095
32 1.575 0.478234 14.3175
33 1.625 0.534289 15.1595
34 1.675 0.644414 16.2385
35 1.725 0.808632 17.6745
36 1.775 0.999058 19.553
37 1.825 1.1687 21.876
38 1.875 1.30667 24.6175
39 1.925 1.31745 27.531
40 1.975 1.3345 30.6375
41 2.025 1.34358 33.9255
42 2.075 1.34558 37.383
43 2.125 1.28913 40.857
44 2.175 1.18839 44.212
45 2.225 1.05063 47.316
46 2.275 0.941983 50.2255
47 2.325 0.814489 52.853
48 2.375 0.745502 55.3625
49 2.425 0.726903 57.9135
50 2.475 0.700293 60.4735
1400 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00685305 0.0035
20 0.975 0.475844 0.2735
21 1.025 2.54031 1.8665
22 1.075 3.65786 4.3895
23 1.125 3.05339 6.696
24 1.175 2.08976 8.418
25 1.225 1.40963 9.6805
26 1.275 0.916801 10.57
27 1.325 0.671407 11.2735
28 1.375 0.546811 11.8905
29 1.425 0.478585 12.4705
30 1.475 0.439375 13.041
31 1.525 0.429771 13.6375
32 1.575 0.473168 14.338
33 1.625 0.537462 15.185
34 1.675 0.633962 16.2465
35 1.725 0.813137 17.6905
36 1.775 0.988422 19.549
37 1.825 1.15813 21.851
38 1.875 1.29332 24.5645
39 1.925 1.33802 27.5235
40 1.975 1.36608 30.7035
41 2.025 1.33705 33.9755
42 2.075 1.31717 37.36
43 2.125 1.27058 40.784
44 2.175 1.1976 44.165
45 2.225 1.07161 47.331
46 2.275 0.935184 50.2195
47 2.325 0.819139 52.862
48 2.375 0.760356 55.4215
49 2.425 0.702398 57.8865
50 2.475 0.709457 60.48
1500 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0137061 0.007
20 0.975 0.48025 0.2795
21 1.025 2.44144 1.8105
22 1.075 3.7173 4.3745
23 1.125 3.12752 6.737
24 1.175 2.05942 8.434
25 1.225 1.37111 9.662
26 1.275 0.946691 10.5805
27 1.325 0.648502 11.26
28 1.375 0.532631 11.861
29 1.425 0.490549 12.4555
30 1.475 0.433214 13.018
31 1.525 0.435535 13.6225
32 1.575 0.476883 14.3285
33 1.625 0.576169 15.2365
34 1.675 0.638441 16.3055
35 1.725 0.780758 17.692
36 1.775 0.971137 19.518
37 1.825 1.18983 21.883
38 1.875 1.2764 24.561
39 1.925 1.32921 27.5005
40 1.975 1.36178 30.6705
41 2.025 1.30987 33.876
42 2.075 1.34675 37.3365
43 2.125 1.28672 40.804
44 2.175 1.20646 44.21
45 2.225 1.05655 47.3315
46 2.275 0.924662 50.1875
47 2.325 0.820844 52.8355
48 2.375 0.759168 55.391
49 2.425 0.709949 57.8825
50 2.475 0.714655 60.495
1600 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0166431 0.0085
20 0.975 0.479369 0.2805
21 1.025 2.48928 1.8415
22 1.075 3.65061 4.3595
23 1.125 3.07523 6.6825
24 1.175 2.14862 8.453
25 1.225 1.37166 9.6815
26 1.275 0.936384 10.59
27 1.325 0.674747 11.297
28 1.375 0.511361 11.874
29 1.425 0.442691 12.4105
30 1.475 0.442841 12.9855
31 1.525 0.456789 13.6195
32 1.575 0.467765 14.312
33 1.625 0.546345 15.173
34 1.675 0.664122 16.285
35 1.725 0.81736 17.7365
36 1.775 0.992145 19.602
37 1.825 1.14706 21.882
38 1.875 1.29237 24.5935
39 1.925 1.32514 27.524
40 1.975 1.31667 30.589
41 2.025 1.37689 33.9585
42 2.075 1.30122 37.302
43 2.125 1.30323 40.814
44 2.175 1.20805 44.2245
45 2.225 1.05367 47.3375
46 2.275 0.934861 50.225
47 2.325 0.816659 52.8595
48 2.375 0.746097 55.371
49 2.425 0.698836 57.8235
50 2.475 0.708773 60.4145
1700 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00783206 0.004
20 0.975 0.481131 0.277
21 1.025 2.47413 1.8285
22 1.075 3.66583 4.357
23 1.125 3.11759 6.712
24 1.175 2.09826 8.441
25 1.225 1.37446 9.672
26 1.275 0.931231 10.5755
27 1.325 0.692881 11.3015
28 1.375 0.529529 11.899
29 1.425 0.456718 12.4525
30 1.475 0.453238 13.041
31 1.525 0.430131 13.638
32 1.575 0.46844 14.3315
33 1.625 0.534289 15.1735
34 1.675 0.636948 16.24
35 1.725 0.82637 17.7075
36 1.775 0.975392 19.5415
37 1.825 1.16039 21.848
38 1.875 1.30548 24.587
39 1.925 1.33757 27.545
40 1.975 1.35383 30.6965
41 2.025 1.33725 33.969
42 2.075 1.29421 37.2945
43 2.125 1.29024 40.7715
44 2.175 1.20894 44.1845
45 2.225 1.05841 47.3115
46 2.275 0.9245 50.167
47 2.325 0.844248 52.8905
48 2.375 0.759465 55.447
49 2.425 0.699976 57.9035
50 2.475 0.711782 60.5055
1800 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00489504 0.0025
20 0.975 0.518141 0.2965
21 1.025 2.4255 1.8175
22 1.075 3.75137 4.405
23 1.125 3.0514 6.71
24 1.175 2.0928 8.4345
25 1.225 1.3979 9.6865
26 1.275 0.889488 10.5495
27 1.325 0.684768 11.267
28 1.375 0.543266 11.88
29 1.425 0.488074 12.4715
30 1.475 0.430133 13.03
31 1.525 0.433373 13.6315
32 1.575 0.49377 14.3625
33 1.625 0.521281 15.184
34 1.675 0.645907 16.2655
35 1.725 0.810603 17.705
36 1.775 0.97353 19.5355
37 1.825 1.177 21.875
38 1.875 1.29237 24.5865
39 1.925 1.34209 27.5545
40 1.975 1.33021 30.651
41 2.025 1.31008 33.857
42 2.075 1.34052 37.3015
43 2.125 1.27874 40.7475
44 2.175 1.19849 44.131
45 2.225 1.08803 47.3455
46 2.275 0.947649 50.2725
47 2.325 0.812009 52.892
48 2.375 0.754266 55.431
49 2.425 0.714081 57.937
50 2.475 0.701661 60.502
1900 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00979007 0.005
20 0.975 0.511092 0.295
21 1.025 2.48609 1.854
22 1.075 3.66946 4.385
23 1.125 3.0706 6.7045
24 1.175 2.09401 8.43
25 1.225 1.37334 9.66
26 1.275 0.919893 10.5525
27 1.325 0.661863 11.246
28 1.375 0.557446 11.875
29 1.425 0.469096 12.4435
30 1.475 0.440145 13.015
31 1.525 0.436255 13.6205
32 1.575 0.480599 14.332
33 1.625 0.539048 15.1815
34 1.675 0.660539 16.2875
35 1.725 0.809477 17.725
36 1.775 0.972732 19.554
37 1.825 1.15788 21.8555
38 1.875 1.29475 24.572
39 1.925 1.36244 27.585
40 1.975 1.32161 30.6615
41 2.025 1.29557 33.832
42 2.075 1.33819 37.2705
43 2.125 1.31325 40.8095
44 2.175 1.19229 44.1755
45 2.225 1.07906 47.3635
46 2.275 0.933242 50.246
47 2.325 0.817899 52.8845
48 2.375 0.739709 55.3745
49 2.425 0.71921 57.8985
50 2.475 0.695643 60.4415
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
