# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
78300 -6.42802
78400 -6.4073
78500 -6.38804
78600 -6.39354
78700 -6.39481
78800 -6.40426
78900 -6.39838
79000 -6.41193
79100 -6.38334
79200 -6.38884
79300 -6.40023
79400 -6.39554
79500 -6.40513
79600 -6.40839
79700 -6.39802
79800 -6.39488
79900 -6.37251
80000 -6.38537
80100 -6.38852
80200 -6.38887
80300 -6.3995
80400 -6.39543
80500 -6.39948
80600 -6.38329
80700 -6.38832
80800 -6.39801
80900 -6.40324
81000 -6.40558
81100 -6.42245
81200 -6.37824
81300 -6.38504
81400 -6.39336
81500 -6.39211
81600 -6.39415
81700 -6.38656
81800 -6.37915
81900 -6.37983
82000 -6.37721
82100 -6.39357
82200 -6.40034
82300 -6.3909
82400 -6.37068
82500 -6.38374
82600 -6.38276
82700 -6.39004
82800 -6.38546
82900 -6.38033
83000 -6.37875
83100 -6.39328
83200 -6.39032
83300 -6.39673
83400 -6.39263
83500 -6.38462
83600 -6.36971
83700 -6.37714
83800 -6.3837
83900 -6.38411
84000 -6.39613
84100 -6.40032
84200 -6.38656
84300 -6.38609
84400 -6.37991
84500 -6.38451
84600 -6.39597
84700 -6.39544
84800 -6.39673
84900 -6.39084
85000 -6.38815
85100 -6.37088
85200 -6.38978
85300 -6.39412
85400 -6.40143
85500 -6.403
85600 -6.39176
85700 -6.38751
85800 -6.38377
85900 -6.37935
86000 -6.38746
86100 -6.39864
86200 -6.39165
86300 -6.4004
86400 -6.36997
86500 -6.37843
86600 -6.37507
86700 -6.40246
86800 -6.39326
86900 -6.39507
87000 -6.40089
87100 -6.39137
87200 -6.38307
87300 -6.37421
87400 -6.40723
87500 -6.40774
87600 -6.4015
87700 -6.41015
87800 -6.40784
87900 -6.40073
88000 -6.38514
88100 -6.38703
88200 -6.39147
88300 -6.40315
88400 -6.4089
88500 -6.40799
88600 -6.40146
88700 -6.40325
88800 -6.40727
88900 -6.40462
89000 -6.39557
89100 -6.40161
89200 -6.41703
89300 -6.41342
89400 -6.40611
89500 -6.3939
89600 -6.39354
89700 -6.40448
89800 -6.42627
89900 -6.41028
90000 -6.40908
90100 -6.38713
90200 -6.39928
90300 -6.40577
90400 -6.39539
90500 -6.41227
90600 -6.4052
90700 -6.38982
90800 -6.39064
90900 -6.40112
91000 -6.3927
91100 -6.4021
91200 -6.40495
91300 -6.40042
91400 -6.4008
91500 -6.3912
91600 -6.38956
91700 -6.38631
91800 -6.40544
91900 -6.40284
92000 -6.41213
92100 -6.42066
92200 -6.41742
92300 -6.41492
92400 -6.41556
92500 -6.40171
92600 -6.38794
92700 -6.40523
92800 -6.41655
92900 -6.40413
93000 -6.40067
93100 -6.40173
93200 -6.41069
93300 -6.42888
